description,tags,title
"Performer and web toymaker Ze Frank delivers a hilarious nerdcore standup routine, then tells us what he's seriously passionate about: helping people create and interact using simple, addictive web tools.","['collaboration', 'comedy', 'community', 'culture', 'dance', 'demo', 'entertainment', 'humor', 'performance', 'software']",Nerdcore comedy
"The founding mother of the blog revolution, Movable Type's Mena Trott, talks about the early days of blogging, when she realized that giving regular people the power to share our lives online is the key to building a friendlier, more connected world.","['business', 'communication', 'community', 'culture', 'design', 'entertainment', 'software', 'storytelling']",Meet the founder of the blog revolution
"Anthropologist Helen Fisher takes on a tricky topic – love – and explains its evolution, its biochemical foundations and its social importance. She closes with a warning about the potential disaster inherent in antidepressant abuse.","['cognitive science', 'culture', 'evolution', 'gender', 'love', 'psychology', 'relationships', 'science']","Why we love, why we cheat"
"Eve Ensler, creator of ""The Vagina Monologues,"" shares how a discussion about menopause with her friends led to talking about all sorts of sexual acts onstage, waging a global campaign to end violence toward women and finding her own happiness.","['culture', 'entertainment', 'gender', 'global issues', 'happiness', 'performance', 'storytelling', 'theater', 'women']",Happiness in body and soul
"Legendary scientist David Deutsch puts theoretical physics on the back burner to discuss a more urgent matter: the survival of our species. The first step toward solving global warming, he says, is to admit that we have a problem.","['climate change', 'cosmos', 'culture', 'environment', 'global issues', 'physics', 'science', 'technology', 'universe']",Chemical scum that dream of distant quasars
"Biologist Richard Dawkins makes a case for ""thinking the improbable"" by looking at how the human frame of reference limits our understanding of the universe.","['astronomy', 'biology', 'cognitive science', 'cosmos', 'evolution', 'physics', 'psychology', 'science']",Why the universe seems so strange
"""Freakonomics"" author Steven Levitt presents new data on the finances of drug dealing. Contrary to popular myth, he says, being a street-corner crack dealer isn't lucrative: It pays below minimum wage. And your boss can kill you.","['business', 'cities', 'culture', 'economics', 'narcotics', 'race']",The freakonomics of crack dealing
"""Tipping Point"" author Malcolm Gladwell gets inside the food industry's pursuit of the perfect spaghetti sauce -- and makes a larger argument about the nature of choice and happiness.","['business', 'choice', 'consumerism', 'culture', 'economics', 'food', 'marketing', 'media', 'storytelling']","Choice, happiness and spaghetti sauce"
"Dan Gilbert, author of ""Stumbling on Happiness,"" challenges the idea that we’ll be miserable if we don’t get what we want. Our ""psychological immune system"" lets us feel truly happy even when things don’t go as planned.","['TED Brain Trust', 'brain', 'choice', 'culture', 'evolution', 'happiness', 'psychology', 'science']",The surprising science of happiness
"Psychologist Barry Schwartz takes aim at a central tenet of western societies: freedom of choice. In Schwartz's estimation, choice has made us not freer but more paralyzed, not happier but more dissatisfied.","['business', 'choice', 'culture', 'decision-making', 'economics', 'happiness', 'personal growth', 'potential', 'psychology']",The paradox of choice
Eva Vertes -- only 19 when she gave this talk -- discusses her journey toward studying medicine and her drive to understand the roots of cancer and Alzheimer’s.,"['cancer', 'disease', 'health', 'science', 'technology', 'wunderkind']",Meet the future of cancer research
"Cambridge researcher Aubrey de Grey argues that aging is merely a disease -- and a curable one at that. Humans age in seven basic ways, he says, all of which can be averted.","['aging', 'biotech', 'disease', 'engineering', 'future', 'health care', 'science', 'technology']",A roadmap to end aging
"Iqbal Quadir tells how his experiences as a kid in poor Bangladesh, and later as a banker in New York, led him to start a mobile phone operator connecting 80 million rural Bangladeshi -- and to become a champion of bottom-up development.","['alternative energy', 'business', 'communication', 'culture', 'global development', 'global issues', 'invention', 'investment', 'microfinance', 'poverty', 'technology', 'telecom', 'transportation']",How mobile phones can fight poverty
"Jacqueline Novogratz applauds the world's heightened interest in Africa and poverty, but argues persuasively for a new approach.","['Africa', 'TED Brain Trust', 'business', 'culture', 'entrepreneur', 'global development', 'investment', 'microfinance', 'philanthropy', 'poverty']",Invest in Africa's own solutions
"A free press -- papers, magazines, radio, TV, blogs -- is the backbone of any true democracy (and a vital watchdog on business). Sasa Vucinic, a journalist from Belgrade, talks about his new fund, which supports media by selling ""free press bonds.""","['business', 'culture', 'global issues', 'investment', 'media', 'philanthropy']",Why we should invest in a free press
"Ashraf Ghani's passionate and powerful 10-minute talk, emphasizing the necessity of both economic investment and design ingenuity to rebuild broken states, is followed by a conversation with TED curator Chris Anderson on the future of Afghanistan.","['business', 'corruption', 'culture', 'economics', 'entrepreneur', 'global development', 'global issues', 'investment', 'military', 'policy', 'politics', 'poverty']",How to rebuild a broken state
"In this passionate talk, legendary spacecraft designer Burt Rutan lambasts the US government-funded space program for stagnating and asks entrepreneurs to pick up where NASA has left off.","['NASA', 'aircraft', 'business', 'design', 'engineering', 'entrepreneur', 'flight', 'industrial design', 'invention', 'rocket science']",The real future of space exploration
"Arctic explorer Ben Saunders recounts his harrowing solo ski trek to the North Pole, complete with engaging anecdotes, gorgeous photos and never-before-seen video.","['climate change', 'culture', 'exploration', 'global issues', 'personal growth', 'potential', 'sports', 'technology', 'travel']",Why did I ski to the North Pole?
"Musician and activist Bono accepts the 2005 TED Prize with a riveting talk, arguing that aid to Africa isn't just another celebrity cause; it's a global emergency.","['AIDS', 'Africa', 'activism', 'entertainment', 'global issues', 'philanthropy', 'poverty', 'social change']",My wish: Three actions for Africa
"Accepting his 2005 TED Prize, photographer Edward Burtynsky makes a wish: that his images -- stunning landscapes that document humanity's impact on the world -- help persuade millions to join a global conversation on sustainability.","['TED Prize', 'art', 'cities', 'culture', 'design', 'environment', 'photography', 'pollution', 'social change']",My wish: Manufactured landscapes and green education
"Accepting his 2005 TED Prize, inventor Robert Fischell makes three wishes: redesigning a portable device that treats migraines, finding new cures for clinical depression and reforming the medical malpractice system.","['TED Prize', 'business', 'disease', 'health care', 'invention', 'medicine', 'science', 'technology']",My wish: Three unusual medical inventions
Oxford mathematician Peter Donnelly reveals the common mistakes humans make in interpreting statistics -- and the devastating impact these errors can have on the outcome of criminal trials.,"['culture', 'genetics', 'science', 'statistics', 'technology']",How juries are fooled by statistics
"Why do people see the Virgin Mary on a cheese sandwich or hear demonic lyrics in ""Stairway to Heaven""? Using video and music, skeptic Michael Shermer shows how we convince ourselves to believe -- and overlook the facts.","['culture', 'entertainment', 'faith', 'illusion', 'religion', 'science']",Why people believe weird things
"Inventor, entrepreneur and visionary Ray Kurzweil explains in abundant, grounded detail why, by the 2020s, we will have reverse-engineered the human brain and nanobots will be operating your consciousness.","['TED Brain Trust', 'biotech', 'business', 'culture', 'future', 'invention', 'robots', 'science', 'technology']",The accelerating power of technology
"Tech enthusiast Kevin Kelly asks ""What does technology want?"" and discovers that its movement toward ubiquity and complexity is much like the evolution of life.","['choice', 'culture', 'evolution', 'future', 'history', 'philosophy', 'science', 'technology']",How technology evolves
Musician and activist Peter Gabriel shares his very personal motivation for standing up for human rights with the watchdog group WITNESS -- and tells stories of citizen journalists in action.,"['TED Brain Trust', 'activism', 'art', 'collaboration', 'culture', 'film', 'global issues', 'music', 'social change', 'storytelling']",Fight injustice with raw video
Why do people succeed? Is it because they're smart? Or are they just lucky? Neither. Analyst Richard St. John condenses years of interviews into an unmissable 3-minute slideshow on the real secrets of success.,"['business', 'culture', 'entertainment', 'happiness', 'psychology', 'success', 'work']",8 secrets of success
"How many poets could cram eBay, Friendster and Monster.com into 3-minute poem worthy of a standing ovation? Enjoy Rives' unique talent.","['culture', 'entertainment', 'love', 'performance', 'philosophy', 'poetry']",If I controlled the Internet
Forget the latest disease in the news: Cardiovascular disease kills more people than everything else combined -- and it’s mostly preventable. Dr. Dean Ornish explains how changing our eating habits can save lives.,"['culture', 'disease', 'food', 'global issues', 'health', 'health care', 'obesity', 'science']",The killer American diet that's sweeping the planet
"Robert Neuwirth, author of ""Shadow Cities,"" finds the world's squatter sites -- where a billion people now make their homes -- to be thriving centers of ingenuity and innovation. He takes us on a tour.","['business', 'cities', 'culture', 'entrepreneur', 'future', 'global development', 'global issues', 'policy', 'poverty', 'social change']",The hidden world of shadow cities
"Given $50 billion to spend, which would you solve first, AIDS or global warming? Danish political scientist Bjorn Lomborg comes up with surprising answers.","['AIDS', 'Africa', 'business', 'choice', 'climate change', 'culture', 'disaster relief', 'economics', 'environment', 'future']",Global priorities bigger than climate change
"With stunning photos and stories, National Geographic Explorer Wade Davis celebrates the extraordinary diversity of the world's indigenous cultures, which are disappearing from the planet at an alarming rate.","['anthropology', 'culture', 'environment', 'film', 'global issues', 'language', 'photography']",Dreams from endangered cultures
"Photographer Phil Borges shows rarely seen images of people from the mountains of Dharamsala, India, and the jungles of the Ecuadorean Amazon. In documenting these endangered cultures, he intends to help preserve them.","['activism', 'art', 'culture', 'design', 'film', 'global issues', 'photography', 'social change', 'storytelling']",Photos of endangered cultures
"Speaking as both an astronomer and ""a concerned member of the human race,"" Sir Martin Rees examines our planet and its future from a cosmic perspective. He urges action to prevent dark consequences from our scientific and technological development.","['astronomy', 'climate change', 'complexity', 'cosmos', 'science', 'social change', 'technology', 'time', 'universe']",Is this our final century?
"Author Robert Wright explains ""non-zero-sumness"" -- the network of linked fortunes and cooperation that has guided our evolution to this point -- and how we can use it to help save humanity today.","['collaboration', 'culture', 'evolutionary psychology', 'global issues', 'war']",Progress is not a zero-sum game
"Author Steven Johnson takes us on a 10-minute tour of <i>The Ghost Map</i>, his book about a cholera outbreak in 1854 London and the impact it had on science, cities and modern society.","['cities', 'culture', 'design', 'disease', 'health', 'history', 'map', 'science', 'urban planning']","How the ""ghost map"" helped end a killer disease"
"In this deceptively casual talk, Charles Leadbeater weaves a tight argument  that innovation isn't just for professionals anymore. Passionate amateurs, using new tools, are creating products and paradigms that companies can't.","['business', 'collaboration', 'culture', 'economics', 'innovation', 'invention', 'media', 'open-source', 'product design']",The era of open innovation
"Two Pilobolus dancers perform ""Symbiosis."" Does it trace the birth of a relationship? Or the co-evolution of symbiotic species? Music: ""God Music,"" George Crumb; ""Fratres,"" Arvo Part; ""Morango...Almost a Tango,"" Thomas Oboe Lee.","['dance', 'entertainment', 'nature', 'performance', 'science', 'science and art']","A dance of ""Symbiosis"""
"Writer and actor Anna Deavere Smith gives life to author Studs Terkel, convict Paulette Jenkins, a Korean shopkeeper and a bull rider, excerpts from her solo show ""On the Road: A Search for American Character.""","['MacArthur grant', 'United States', 'culture', 'entertainment', 'history', 'interview', 'performance', 'performance art', 'race', 'sports', 'storytelling', 'theater']",Four American characters
"Inventor and MacArthur fellow Saul Griffith shares some innovative ideas from his lab -- from ""smart rope"" to a house-sized kite for towing large loads.","['MacArthur grant', 'collaboration', 'design', 'innovation', 'invention', 'materials', 'open-source', 'product design', 'technology']",Everyday inventions
MIT professor Neil Gershenfeld talks about his Fab Lab -- a low-cost lab that lets people build things they need using digital and analog tools. It's a simple idea with powerful results.,"['code', 'computers', 'culture', 'education', 'engineering', 'invention', 'materials', 'science', 'social change', 'technology']",Unleash your creativity in a Fab Lab
"Journalist Carl Honore believes the Western world's emphasis on speed erodes health, productivity and quality of life. But there's a backlash brewing, as everyday people start putting the brakes on their all-too-modern lives.","['choice', 'culture', 'happiness', 'health', 'parenting', 'personal growth', 'potential', 'psychology', 'work-life balance']",In praise of slowness
"Accepting the 2007 TED Prize, Bill Clinton asks for help in bringing health care to Rwanda -- and the rest of the world.","['Africa', 'TED Prize', 'business', 'culture', 'economics', 'global issues', 'health care', 'technology']",My wish: Rebuilding Rwanda
"As E.O. Wilson accepts his 2007 TED Prize, he makes a plea on behalf of all creatures that we learn more about our biosphere -- and build a networked encyclopedia of all the world's knowledge about life.","['TED Prize', 'ants', 'biodiversity', 'biology', 'ecology', 'global issues', 'insects', 'nature', 'science', 'technology']",My wish: Build the Encyclopedia of Life
"Accepting his 2007 TED Prize, war photographer James Nachtwey shows his life's work and asks TED to help him continue telling the story with innovative, exciting uses of news photography in the digital era.","['activism', 'art', 'culture', 'global issues', 'media', 'photography', 'poverty', 'social change', 'storytelling', 'war']",My wish: Let my photographs bear witness
"Jane Goodall hasn't found the missing link, but she's come closer than nearly anyone else. The primatologist says the only real difference between humans and chimps is our sophisticated language. She urges us to start using it to change the world.","['Africa', 'animals', 'culture', 'environment', 'global issues', 'nature', 'primates', 'science']",What separates us from chimpanzees?
"In a world of too many options and too little time, our obvious choice is to just ignore the ordinary stuff. Marketing guru Seth Godin spells out why, when it comes to getting our attention, bad or bizarre ideas are more successful than boring ones.","['TED Brain Trust', 'business', 'choice', 'culture', 'marketing', 'storytelling']",How to get your ideas to spread
"Nobel laureate James Watson opens TED2005 with the frank and funny story of how he and his research partner, Francis Crick, discovered the structure of DNA.","['DNA', 'culture', 'genetics', 'history', 'invention', 'science', 'storytelling', 'technology']",How we discovered DNA
"Al Seckel, a cognitive neuroscientist, explores the perceptual illusions that fool our brains. Loads of eye tricks help him prove that not only are we easily fooled, we kind of like it.","['brain', 'cognitive science', 'culture', 'design', 'illusion', 'psychology']",Visual illusions that show how we (mis)think
Inventor Dean Kamen lays out his argument for the Segway and offers a peek into his next big ideas (portable energy and water purification for developing countries).,"['business', 'cars', 'industrial design', 'innovation', 'invention', 'robots', 'science', 'social change', 'sustainability', 'technology', 'transportation']",To invent is to give
"Scientific discoveries, futurist Juan Enriquez notes, demand a shift in code, and our ability to thrive depends on our mastery of that code. Here, he applies this notion to the field of genomics.","['DNA', 'TED Brain Trust', 'biotech', 'business', 'culture', 'genetics', 'invention', 'science', 'technology']",The life code that will reshape the future
Graphic designer Stefan Sagmeister takes the audience on a whimsical journey through moments of his life that made him happy -- and notes how many of these moments have to do with good design.,"['TED Brain Trust', 'art', 'design', 'happiness', 'typography']",Happiness by design
"Worldchanging.com founder Alex Steffen argues that reducing humanity’s ecological footprint is incredibly vital now, as the western consumer lifestyle spreads to developing countries.","['alternative energy', 'business', 'cities', 'collaboration', 'culture', 'design', 'environment', 'global issues', 'invention', 'sustainability']",The route to a sustainable future
"Architect Thom Mayne has never been one to take the easy option, and this whistle-stop tour of the buildings he's created makes you glad for it. These are big ideas cast in material form.","['architecture', 'cities', 'culture', 'design', 'invention']",How architecture can connect us
"American designer Chris Bangle explains his philosophy that car design is an art form in its own right, with an entertaining -- and ultimately moving -- account of the BMW Group's Deep Blue project, intended to create the SUV of the future.","['art', 'business', 'cars', 'design', 'industrial design', 'invention', 'technology', 'transportation']",Great cars are great art
"Nora York gives a stunning performance of her song ""What I Want,"" with Jamie Lawrence (keyboards), Steve Tarshis (guitar) and Arthur Kell (bass).","['entertainment', 'live music', 'music', 'performance', 'poetry', 'singer']","Singing ""What I Want"""
"Showing a series of inspiring, unusual and playful products, British branding and design guru Paul Bennett explains that design doesn't have to be about grand gestures, but can solve small, universal and overlooked problems.","['business', 'design', 'industrial design', 'product design']",Design is in the details
"Vik Muniz makes art from pretty much anything, be it shredded paper, wire, clouds or diamonds. Here he describes the thinking behind his work and takes us on a tour of his incredible images.","['Brazil', 'animation', 'art', 'creativity', 'design', 'illusion']","Art with wire, sugar, chocolate and string"
Oxford philosopher and transhumanist Nick Bostrom examines the future of humankind and asks whether we might alter the fundamental nature of humanity to solve our most intrinsic problems.,"['biotech', 'culture', 'future', 'global issues', 'happiness', 'philosophy', 'technology']",A philosophical quest for our biggest problems
"In this inspiring talk about recent developments in biomimicry, Janine Benyus provides heartening examples of ways in which nature is already influencing the products and systems we build.","['DNA', 'animals', 'biology', 'biomimicry', 'design', 'environment', 'evolution', 'fish', 'science', 'technology']",Biomimicry's surprising lessons from nature's engineers
Genomics pioneer Craig Venter takes a break from his epic round-the-world expedition to talk about the millions of genes his team has discovered so far in its quest to map the ocean's biodiversity.,"['DNA', 'biodiversity', 'biology', 'biotech', 'ecology', 'entrepreneur', 'genetics', 'invention', 'oceans', 'science', 'technology']",Sampling the ocean's DNA
"Engineer and artist Golan Levin pushes the boundaries of what's possible with audiovisuals and technology. In an amazing TED display, he shows two programs he wrote to perform his original compositions.","['art', 'entertainment', 'invention', 'music', 'performance', 'software', 'technology']",Software (as) art
"Savage-Rumbaugh's work with bonobo apes, which can understand spoken language and learn tasks by watching, forces the audience to rethink how much of what a species can do is determined by biology -- and how much by cultural exposure.","['animals', 'apes', 'biology', 'culture', 'evolution', 'genetics', 'intelligence', 'language']",The gentle genius of bonobos
"In this stunning slideshow, celebrated nature photographer Frans Lanting presents The LIFE Project, a poetic collection of photographs that tell the story of our planet, from its eruptive beginnings to its present diversity. Soundtrack by Philip Glass.","['animals', 'art', 'design', 'evolution', 'fish', 'nature', 'photography', 'storytelling']",The story of life in photographs
"Biologist Sheila Patek talks about her work measuring the feeding strike of the mantis shrimp, one of the fastest movements in the animal world, using video cameras recording at 20,000 frames per second.","['biology', 'biomechanics', 'oceans', 'online video', 'science', 'technology']",The shrimp with a kick!
"A happy song about global warming, from Jill Sobule.","['climate change', 'environment', 'guitar', 'music', 'performance', 'vocals']","Global warming's theme song, ""Manhattan in January"""
"Caroline Lavelle plays the cello like a sorceress casting a spell, occasionally hiding behind her wild mane of blond hair as she sings of pastoral themes. She performs ""Farther than the Sun,"" backed by Thomas Dolby on keyboards.","['cello', 'entertainment', 'music', 'performance', 'vocals']",Casting a spell on the cello
"Philosopher Dan Dennett makes a compelling argument that not only don't we understand our own consciousness, but that half the time our brains are actively fooling us.","['TED Brain Trust', 'brain', 'consciousness', 'culture', 'entertainment', 'illusion', 'self', 'visualizations']",The illusion of consciousness
"In this soaring demonstration, deaf percussionist Evelyn Glennie illustrates how listening to music involves much more than simply letting sound waves hit your eardrums.","['creativity', 'entertainment', 'live music', 'music', 'performance']",How to truly listen
"Green-minded architect and designer William McDonough asks what our buildings and products would look like if designers took into account ""all children, all species, for all time.""","['architecture', 'business', 'china', 'cities', 'culture', 'design', 'environment', 'global issues', 'sustainability', 'technology']",Cradle to cradle design
The dot-com boom and bust is often compared to the Gold Rush. But Amazon.com founder Jeff Bezos says it’s more like the early days of the electric industry.,"['TED Brain Trust', 'United States', 'business', 'entrepreneur', 'history', 'innovation', 'invention', 'technology', 'web']",The electricity metaphor for the web's future
Rives recaps the most memorable moments of TED2006 in the free-spirited rhyming verse of a fantastical mockingbird lullaby.,"['entertainment', 'memory', 'performance', 'poetry', 'spoken word', 'storytelling']",A mockingbird remix of TED2006
"Singer/songwriter Eddi Reader performs ""Kiteflyer's Hill,"" a tender look back at a lost love. With Thomas Dolby on piano.","['composing', 'entertainment', 'guitar', 'memory', 'music', 'performance', 'piano']","""Kiteflyer's Hill"""
"Singer/songwriter Eddi Reader performs ""What You Do With What You've Got,"" a meditation on a very TED theme: how to use your gifts and talents to make a difference. With Thomas Dolby on piano.","['composing', 'entertainment', 'guitar', 'music', 'performance', 'performance art', 'piano', 'potential', 'vocals']","""What You've Got"""
"In the days following the tragic South Asian tsunami of 2004, the Rev. Tom Honey pondered the question, ""How could a loving God have done this?"" Here is his answer.","['God', 'culture', 'disaster relief', 'global issues', 'natural disaster', 'philosophy', 'religion']",Why would God create a tsunami?
"Richard Dawkins urges all atheists to openly state their position -- and to fight the incursion of the church into politics and science. A fiery, funny, powerful talk.","['God', 'atheism', 'culture', 'religion', 'science']",Militant atheism
"Satirist Tom Rielly delivers a wicked parody of the 2006 TED conference, taking down the $100 laptop, the plight of the polar bear, and people who mention, one too many times, that they work at Harvard. Watch for a special moment between Tom and Al Gore.","['comedy', 'culture', 'humor', 'performance']",A comic sendup of TED2006
"Featuring the vocals and mischievous bell-playing of accordionist and singer Rachelle Garniez, the TED House Band -- led by Thomas Dolby on keyboard -- delivers this delightful rendition of the Edith Piaf standard ""La Vie en Rose.""","['entertainment', 'live music', 'music', 'performance']","""La Vie en Rose"""
"Chris Anderson, then the editor of Wired, explores the four key stages of any viable technology: setting the right price, gaining market share, displacing an established technology and, finally, becoming ubiquitous.","['business', 'culture', 'economics', 'entertainment', 'marketing', 'technology']",Technology's long tail
"Violinist Natalie MacMaster and TED Musical Director Thomas Dolby play Dolby's original song ""Blue Is a River"" in this ethereal duet -- with a little dancing.","['entertainment', 'history', 'live music', 'music', 'performance', 'violin']",Cape Breton fiddling in reel time
"Google co-founders Larry Page and Sergey Brin offer a peek inside the Google machine, sharing tidbits about international search patterns, the philanthropic Google Foundation, and the company's dedication to innovation and employee happiness.","['Google', 'TED Brain Trust', 'business', 'collaboration', 'culture', 'design', 'technology', 'web']",The genesis of Google
What happens when a black man visits Aspen? Singer/songwriter Stew and his band are about to let you know.,"['culture', 'entertainment', 'live music', 'music', 'performance', 'poetry', 'race', 'sports']","""Black Men Ski"""
"In James Howard Kunstler's view, public spaces should be inspired centers of civic life and the physical manifestation of the common good. Instead, he argues, what we have in America is a nation of places not worth caring about.","['alternative energy', 'architecture', 'cars', 'cities', 'consumerism', 'culture', 'design', 'energy', 'transportation']",The ghastly tragedy of the suburbs
"IDEO's David Kelley says that product design has become much less about the hardware and more about the user experience. He shows video of this new, broader approach, including footage from the Prada store in New York.","['collaboration', 'creativity', 'culture', 'design', 'museums', 'philanthropy', 'science and art', 'water']",Human-centered design
"Rural villages worldwide are being deserted, as billions of people flock to cities to live in teeming squatter camps and slums. Stewart Brand says this is a good thing. Why? It’ll take you 3 minutes to find out.","['TED Brain Trust', 'business', 'cities', 'culture', 'future', 'global issues', 'poverty', 'technology', 'urban planning']",What squatter cities can teach us
"Treo creator Jeff Hawkins urges us to take a new look at the brain -- to see it not as a fast processor, but as a memory system that stores and plays back experiences to help us predict, intelligently, what will happen next.","['AI', 'brain', 'cognitive science', 'computers', 'intelligence', 'memory', 'science', 'technology']",How brain science will change computing
"Marine biologist Tierney Thys asks us to step into the water to visit the world of the Mola mola, or giant ocean sunfish. Basking, eating jellyfish and getting massages, this behemoth offers clues to life in the open sea.","['animals', 'biodiversity', 'climate change', 'environment', 'fish', 'global issues', 'oceans', 'science', 'technology']",Swim with the giant sunfish
"Blaise Aguera y Arcas leads a dazzling demo of Photosynth, software that could transform the way we look at digital images. Using still photos culled from the Web, Photosynth builds breathtaking dreamscapes and lets us navigate them.","['collaboration', 'demo', 'microsoft', 'photography', 'software', 'technology', 'virtual reality', 'visualizations']",How PhotoSynth can connect the world's images
"""I don't think we're going to make it,"" John Doerr says in an emotional talk about climate change and investment. To create a world fit for his daughter to live in, he says, we need to invest now in clean, green energy.","['climate change', 'environment', 'global issues', 'green', 'investment', 'sustainability', 'technology']",Salvation (and profit) in greentech
"We know the negative images of Africa -- famine and disease, conflict and corruption. But, says Ngozi Okonjo-Iweala, there's another, less-told story happening in many African nations: one of reform, economic growth and business opportunity.","['business', 'corruption', 'global issues', 'investment', 'women', 'women in business']",Want to help Africa? Do business here
"Anand Agarawala presents BumpTop, a user interface that takes the usual desktop metaphor to a glorious, 3-D extreme, transforming file navigation into a freewheeling playground of crumpled documents and clipping-covered ""walls.""","['demo', 'interface design', 'software', 'technology']",Rethink the desktop with BumpTop
